
Tue 04 Aug 2020 09:46:06 PM EDT
===============================================
POS	Total	Clean	With @	With #	Clean %
v	89181	69330	0	19851	77.75
adj	40176	21954	0	18222	54.65
n	20009	10921	0	9088	54.59
np	19630	2306	1713	15611	11.75
prn	14947	701	0	14246	4.69
cnjcoo	3809	48	571	3190	1.27
post	726	60	0	666	8.27
adv	72	0	0	72	0
vaux	0	0	0	0	100
num	0	0	0	0	100
ij	0	0	0	0	100
guio	0	0	0	0	100
det	0	0	0	0	100
cnjsub	0	0	0	0	100
cm	0	0	0	0	100
===============================================
